X;Y;Name;Sensor;Year;Day;Value
572677.37;7016668.9;toar_LT51610151998229KIS00_5;LT5;1998;229;null
572677.37;7016668.9;toar_LT51620152007277MOR00_5;LT5;2007;277;null
572677.37;7016668.9;toar_LT41580161988205XXX03_5;LT4;1988;205;null
572677.37;7016668.9;toar_LT51580161987002XXX03_5;LT5;1987;002;null
572677.37;7016668.9;toar_LT51600161988163KIS00_5;LT5;1988;163;0.331762065490378
572677.37;7016668.9;toar_LT51620151989147KIS00_5;LT5;1989;147;null
572677.37;7016668.9;toar_LT41610151988290XXX03_5;LT4;1988;290;null
572677.37;7016668.9;toar_LT51610151998149KIS00_5;LT5;1998;149;0.0722871404948076
572677.37;7016668.9;toar_LT51610161997258KIS00_5;LT5;1997;258;0.0695002339068041
572677.37;7016668.9;toar_LT51610151985273KIS00_5;LT5;1985;273;null
572677.37;7016668.9;toar_LT51590152011251KIS01_5;LT5;2011;251;null
572677.37;7016668.9;toar_LT51590152009229KIS01_5;LT5;2009;229;null
572677.37;7016668.9;toar_LT51600161999193KIS00_5;LT5;1999;193;0.446437250816061
572677.37;7016668.9;toar_LT51620151987174XXX02_5;LT5;1987;174;null
572677.37;7016668.9;toar_LT51600152009204KIS01_5;LT5;2009;204;null
572677.37;7016668.9;toar_LT51580161998112KIS00_5;LT5;1998;112;null
572677.37;7016668.9;toar_LT51610161986148XXX04_5;LT5;1986;148;0.141588759853352
572677.37;7016668.9;toar_LT51600161990184KIS00_5;LT5;1990;184;0.108257154840137
572677.37;7016668.9;toar_LT51620152006162KIS00_5;LT5;2006;162;null
572677.37;7016668.9;toar_LT51590152006237IKR01_5;LT5;2006;237;null
572677.37;7016668.9;toar_LT51600151987192XXX02_5;LT5;1987;192;null
572677.37;7016668.9;toar_LT51580161987210KIS03_5;LT5;1987;210;null
572677.37;7016668.9;toar_LT51590151987169XXX02_5;LT5;1987;169;null
572677.37;7016668.9;toar_LT51590151988092KIS00_5;LT5;1988;092;null
572677.37;7016668.9;toar_LT41580161988285XXX03_5;LT4;1988;285;null
572677.37;7016668.9;toar_LT51620151994145KIS00_5;LT5;1994;145;null
572677.37;7016668.9;toar_LT51620151988225KIS00_5;LT5;1988;225;null
572677.37;7016668.9;toar_LT51590151989238KIS00_5;LT5;1989;238;null
572677.37;7016668.9;toar_LT51620151990214KIS00_5;LT5;1990;214;null
572677.37;7016668.9;toar_LT51590151994156KIS00_5;LT5;1994;156;null
572677.37;7016668.9;toar_LT51610151989124KIS00_5;LT5;1989;124;null
572677.37;7016668.9;toar_LT51600162007231IKR01_5;LT5;2007;231;0.0854221362690049
572677.37;7016668.9;toar_LT51610161987103XXX02_5;LT5;1987;103;0.141575907753642
572677.37;7016668.9;toar_LT51600162009204KIS01_5;LT5;2009;204;0.0881708975576328
572677.37;7016668.9;toar_LT51600151987256XXX02_5;LT5;1987;256;null
572677.37;7016668.9;toar_LT51610152009195KIS01_5;LT5;2009;195;null
572677.37;7016668.9;toar_LT51590162011251MOR00_5;LT5;2011;251;0.0937043940420365
572677.37;7016668.9;toar_LT51590161986358XXX03_5;LT5;1986;358;0.085353605197715
572677.37;7016668.9;toar_LT51600162006196KIS01_5;LT5;2006;196;0.0858955615907065
572677.37;7016668.9;toar_LT51590151984129KIS00_5;LT5;1984;129;null
572677.37;7016668.9;toar_LT51590162006237IKR01_5;LT5;2006;237;0.0950382418501294
572677.37;7016668.9;toar_LT51580161990250KIS00_5;LT5;1990;250;null
572677.37;7016668.9;toar_LT51600151988115KIS00_5;LT5;1988;115;null
572677.37;7016668.9;toar_LT51610161986308XXX03_5;LT5;1986;308;0.27890639900578
572677.37;7016668.9;toar_LT51580161987098XXX02_5;LT5;1987;098;null
572677.37;7016668.9;toar_LT51610161987215XXX02_5;LT5;1987;215;0.109541575914859
572677.37;7016668.9;toar_LT51600162006228KIS02_5;LT5;2006;228;0.103584820545152
572677.37;7016668.9;toar_LT51590151986214XXX03_5;LT5;1986;214;null
572677.37;7016668.9;toar_LT51620152011128KIS00_5;LT5;2011;128;null
572677.37;7016668.9;toar_LT51610151990159KIS00_5;LT5;1990;159;null
572677.37;7016668.9;toar_LT51600161988243KIS00_5;LT5;1988;243;0.0947618341282225
572677.37;7016668.9;toar_LT51590151990225KIS00_5;LT5;1990;225;null
572677.37;7016668.9;toar_LT51610151989220KIS00_5;LT5;1989;220;0.356476460339968
572677.37;7016668.9;toar_LT51590151987201XXX02_5;LT5;1987;201;null
572677.37;7016668.9;toar_LT51580162006230IKR01_5;LT5;2006;230;null
572677.37;7016668.9;toar_LT51590151986166XXX03_5;LT5;1986;166;null
572677.37;7016668.9;toar_LT51590152006173KIS01_5;LT5;2006;173;null
572677.37;7016668.9;toar_LT51590161987185XXX02_5;LT5;1987;185;0.105359388074242
572677.37;7016668.9;toar_LT51590161998103KIS00_5;LT5;1998;103;0.296777339248121
572677.37;7016668.9;toar_LT51610161986116KIS00_5;LT5;1986;116;0.471971237237913
572677.37;7016668.9;toar_LT51580161989247KIS00_5;LT5;1989;247;null
572677.37;7016668.9;toar_LT51590151990257KIS00_5;LT5;1990;257;null
572677.37;7016668.9;toar_LT51610151994170KIS00_5;LT5;1994;170;null
572677.37;7016668.9;toar_LT51580161985124KIS00_5;LT5;1985;124;null
572677.37;7016668.9;toar_LT51580161989071KIS00_5;LT5;1989;071;null
572677.37;7016668.9;toar_LT51610151997258KIS00_5;LT5;1997;258;0.0683626843640714
572677.37;7016668.9;toar_LT51610152006171KIS01_5;LT5;2006;171;null
572677.37;7016668.9;toar_LT51610151998197KIS00_5;LT5;1998;197;0.324394076910055
572677.37;7016668.9;toar_LT51580161989135KIS00_5;LT5;1989;135;null
