X;Y;Name;Sensor;Year;Day;Value
632624.48;7140575.6;toar_LT51610151998229KIS00_5;LT5;1998;229;0.312838169558327
632624.48;7140575.6;toar_LT51620152007277MOR00_5;LT5;2007;277;null
632624.48;7140575.6;toar_LT41580161988205XXX03_5;LT4;1988;205;null
632624.48;7140575.6;toar_LT51580161987002XXX03_5;LT5;1987;002;null
632624.48;7140575.6;toar_LT51600161988163KIS00_5;LT5;1988;163;null
632624.48;7140575.6;toar_LT51620151989147KIS00_5;LT5;1989;147;null
632624.48;7140575.6;toar_LT41610151988290XXX03_5;LT4;1988;290;0.0787935949873206
632624.48;7140575.6;toar_LT51610151998149KIS00_5;LT5;1998;149;0.14226079165842
632624.48;7140575.6;toar_LT51610161997258KIS00_5;LT5;1997;258;null
632624.48;7140575.6;toar_LT51610151985273KIS00_5;LT5;1985;273;0.206301058137955
632624.48;7140575.6;toar_LT51590152011251KIS01_5;LT5;2011;251;0.121339688670508
632624.48;7140575.6;toar_LT51590152009229KIS01_5;LT5;2009;229;0.139382493371279
632624.48;7140575.6;toar_LT51600161999193KIS00_5;LT5;1999;193;null
632624.48;7140575.6;toar_LT51620151987174XXX02_5;LT5;1987;174;null
632624.48;7140575.6;toar_LT51600152009204KIS01_5;LT5;2009;204;0.146574511370446
632624.48;7140575.6;toar_LT51580161998112KIS00_5;LT5;1998;112;null
632624.48;7140575.6;toar_LT51610161986148XXX04_5;LT5;1986;148;null
632624.48;7140575.6;toar_LT51600161990184KIS00_5;LT5;1990;184;null
632624.48;7140575.6;toar_LT51620152006162KIS00_5;LT5;2006;162;null
632624.48;7140575.6;toar_LT51590152006237IKR01_5;LT5;2006;237;0.315291433858977
632624.48;7140575.6;toar_LT51600151987192XXX02_5;LT5;1987;192;0.0402337608414352
632624.48;7140575.6;toar_LT51580161987210KIS03_5;LT5;1987;210;null
632624.48;7140575.6;toar_LT51590151987169XXX02_5;LT5;1987;169;0.162642214296012
632624.48;7140575.6;toar_LT51590151988092KIS00_5;LT5;1988;092;0.0649269145108506
632624.48;7140575.6;toar_LT41580161988285XXX03_5;LT4;1988;285;null
632624.48;7140575.6;toar_LT51620151994145KIS00_5;LT5;1994;145;null
632624.48;7140575.6;toar_LT51620151988225KIS00_5;LT5;1988;225;null
632624.48;7140575.6;toar_LT51590151989238KIS00_5;LT5;1989;238;0.0187496830685081
632624.48;7140575.6;toar_LT51620151990214KIS00_5;LT5;1990;214;null
632624.48;7140575.6;toar_LT51590151994156KIS00_5;LT5;1994;156;0.147545877665826
632624.48;7140575.6;toar_LT51610151989124KIS00_5;LT5;1989;124;0.088139680515621
632624.48;7140575.6;toar_LT51600162007231IKR01_5;LT5;2007;231;null
632624.48;7140575.6;toar_LT51610161987103XXX02_5;LT5;1987;103;null
632624.48;7140575.6;toar_LT51600162009204KIS01_5;LT5;2009;204;null
632624.48;7140575.6;toar_LT51600151987256XXX02_5;LT5;1987;256;0.115239205857843
632624.48;7140575.6;toar_LT51610152009195KIS01_5;LT5;2009;195;0.147758319830265
632624.48;7140575.6;toar_LT51590162011251MOR00_5;LT5;2011;251;null
632624.48;7140575.6;toar_LT51590161986358XXX03_5;LT5;1986;358;null
632624.48;7140575.6;toar_LT51600162006196KIS01_5;LT5;2006;196;null
632624.48;7140575.6;toar_LT51590151984129KIS00_5;LT5;1984;129;0.043015488772267
632624.48;7140575.6;toar_LT51590162006237IKR01_5;LT5;2006;237;null
632624.48;7140575.6;toar_LT51580161990250KIS00_5;LT5;1990;250;null
632624.48;7140575.6;toar_LT51600151988115KIS00_5;LT5;1988;115;0.0700282014712238
632624.48;7140575.6;toar_LT51610161986308XXX03_5;LT5;1986;308;null
632624.48;7140575.6;toar_LT51580161987098XXX02_5;LT5;1987;098;null
632624.48;7140575.6;toar_LT51610161987215XXX02_5;LT5;1987;215;null
632624.48;7140575.6;toar_LT51600162006228KIS02_5;LT5;2006;228;null
632624.48;7140575.6;toar_LT51590151986214XXX03_5;LT5;1986;214;0.470234257149074
632624.48;7140575.6;toar_LT51620152011128KIS00_5;LT5;2011;128;null
632624.48;7140575.6;toar_LT51610151990159KIS00_5;LT5;1990;159;0.0396661113862734
632624.48;7140575.6;toar_LT51600161988243KIS00_5;LT5;1988;243;null
632624.48;7140575.6;toar_LT51590151990225KIS00_5;LT5;1990;225;0.133352106304722
632624.48;7140575.6;toar_LT51610151989220KIS00_5;LT5;1989;220;0.0531537738251116
632624.48;7140575.6;toar_LT51590151987201XXX02_5;LT5;1987;201;0.579293100867405
632624.48;7140575.6;toar_LT51580162006230IKR01_5;LT5;2006;230;null
632624.48;7140575.6;toar_LT51590151986166XXX03_5;LT5;1986;166;0.274434235839838
632624.48;7140575.6;toar_LT51590152006173KIS01_5;LT5;2006;173;0.162390413572567
632624.48;7140575.6;toar_LT51590161987185XXX02_5;LT5;1987;185;null
632624.48;7140575.6;toar_LT51590161998103KIS00_5;LT5;1998;103;null
632624.48;7140575.6;toar_LT51610161986116KIS00_5;LT5;1986;116;null
632624.48;7140575.6;toar_LT51580161989247KIS00_5;LT5;1989;247;null
632624.48;7140575.6;toar_LT51590151990257KIS00_5;LT5;1990;257;0.0799463331139778
632624.48;7140575.6;toar_LT51610151994170KIS00_5;LT5;1994;170;0.515943717342375
632624.48;7140575.6;toar_LT51580161985124KIS00_5;LT5;1985;124;null
632624.48;7140575.6;toar_LT51580161989071KIS00_5;LT5;1989;071;null
632624.48;7140575.6;toar_LT51610151997258KIS00_5;LT5;1997;258;0.144635874057667
632624.48;7140575.6;toar_LT51610152006171KIS01_5;LT5;2006;171;0.511570463558026
632624.48;7140575.6;toar_LT51610151998197KIS00_5;LT5;1998;197;0.309179278092751
632624.48;7140575.6;toar_LT51580161989135KIS00_5;LT5;1989;135;null
632624.48;7140575.6;toar_LT51610151994186KIS00_5;LT5;1994;186;0.148322221065359
632624.48;7140575.6;toar_LT51610161990191KIS00_5;LT5;1990;191;null
632624.48;7140575.6;toar_LT51590151987137XXX02_5;LT5;1987;137;0.360665665792715
632624.48;7140575.6;toar_LT51600161988211KIS00_5;LT5;1988;211;null
632624.48;7140575.6;toar_LT41600161988219XXX03_5;LT4;1988;219;null
632624.48;7140575.6;toar_LT51610161986196XXX03_5;LT5;1986;196;null
632624.48;7140575.6;toar_LT51590161990193KIS00_5;LT5;1990;193;null
632624.48;7140575.6;toar_LT51590151988236KIS00_5;LT5;1988;236;0.113782067297799
632624.48;7140575.6;toar_LT51590161990113KIS00_5;LT5;1990;113;null
632624.48;7140575.6;toar_LT51620151987238XXX02_5;LT5;1987;238;null
632624.48;7140575.6;toar_LT51590151989254KIS00_5;LT5;1989;254;0.220338393424541
632624.48;7140575.6;toar_LT51590152006285IKR01_5;LT5;2006;285;0.106329331487196
632624.48;7140575.6;toar_LT51580161984170XXX01_5;LT5;1984;170;null
632624.48;7140575.6;toar_LT51590152009293KIS00_5;LT5;2009;293;0.193625335916587
632624.48;7140575.6;toar_LT51580161986143XXX03_5;LT5;1986;143;null
632624.48;7140575.6;toar_LT51610151990207KIS00_5;LT5;1990;207;0.140756143591117
632624.48;7140575.6;toar_LT51590161998215KIS00_5;LT5;1998;215;null
632624.48;7140575.6;toar_LT51580162007137MOR01_5;LT5;2007;137;null
632624.48;7140575.6;toar_LT51590152007272IKR00_5;LT5;2007;272;0.12992877625398
632624.48;7140575.6;toar_LT41620151988105XXX03_5;LT4;1988;105;null
632624.48;7140575.6;toar_LT51610152006267MOR00_5;LT5;2006;267;0.171516913849081
632624.48;7140575.6;toar_LT51580162009238IKR00_5;LT5;2009;238;null
632624.48;7140575.6;toar_LT51610151987215XXX02_5;LT5;1987;215;0.300145457010397
632624.48;7140575.6;toar_LT51620152010205MOR00_5;LT5;2010;205;null
632624.48;7140575.6;toar_LT51620152006274MOR00_5;LT5;2006;274;null
632624.48;7140575.6;toar_LT51600151990104KIS00_5;LT5;1990;104;0.031944354593064
632624.48;7140575.6;toar_LT51600162011242KIS01_5;LT5;2011;242;null
632624.48;7140575.6;toar_LT51610151987103XXX02_5;LT5;1987;103;0.0873101597356386
632624.48;7140575.6;toar_LT51590152011267KIS01_5;LT5;2011;267;0.31454106445896
632624.48;7140575.6;toar_LT51590152007240IKR00_5;LT5;2007;240;0.131299542850461
632624.48;7140575.6;toar_LT41590151988100XXX03_5;LT4;1988;100;0.104087474106469
632624.48;7140575.6;toar_LT51580161994261KIS00_5;LT5;1994;261;null
632624.48;7140575.6;toar_LT51590151988220KIS00_5;LT5;1988;220;0.515087564777224
632624.48;7140575.6;toar_LT51600161987128XXX02_5;LT5;1987;128;null
632624.48;7140575.6;toar_LT51580161986255XXX03_5;LT5;1986;255;null
632624.48;7140575.6;toar_LT51580161998224KIS00_5;LT5;1998;224;null
632624.48;7140575.6;toar_LT51600161990104KIS00_5;LT5;1990;104;null
632624.48;7140575.6;toar_LT51620152010189KIS01_5;LT5;2010;189;null
632624.48;7140575.6;toar_LT51620152007133MOR00_5;LT5;2007;133;null
632624.48;7140575.6;toar_LT51600161985122KIS00_5;LT5;1985;122;null
632624.48;7140575.6;toar_LT51610151988138KIS00_5;LT5;1988;138;0.036154950915337
632624.48;7140575.6;toar_LT51590151986134XXX04_5;LT5;1986;134;0.0844774655336941
632624.48;7140575.6;toar_LT51580161989103KIS00_5;LT5;1989;103;null
632624.48;7140575.6;toar_LT51610151988170KIS00_5;LT5;1988;170;0.13500104162507
632624.48;7140575.6;toar_LT51600151985250KIS00_5;LT5;1985;250;0.115552345999439
632624.48;7140575.6;toar_LT51600151985234KIS00_5;LT5;1985;234;0.2290457133767
632624.48;7140575.6;toar_LT51620151985232KIS00_5;LT5;1985;232;null
632624.48;7140575.6;toar_LT51610151994202KIS00_5;LT5;1994;202;0.306232248091069
632624.48;7140575.6;toar_LT51600161987096KIS01_5;LT5;1987;096;null
632624.48;7140575.6;toar_LT51610152011137KIS00_5;LT5;2011;137;0.172047807012405
632624.48;7140575.6;toar_LT51590151987057XXX02_5;LT5;1987;057;0.0730150626285516
632624.48;7140575.6;toar_LT51610151984127KIS00_5;LT5;1984;127;0.0434444411992187
632624.48;7140575.6;toar_LT51620151998236BIK00_5;LT5;1998;236;null
632624.48;7140575.6;toar_LT51620151990182KIS00_5;LT5;1990;182;null
632624.48;7140575.6;toar_LT51590161984129KIS00_5;LT5;1984;129;null
632624.48;7140575.6;toar_LT51610161985129KIS00_5;LT5;1985;129;null
632624.48;7140575.6;toar_LT51610161988138KIS00_5;LT5;1988;138;null
632624.48;7140575.6;toar_LT51620152006210KIS02_5;LT5;2006;210;null
632624.48;7140575.6;toar_LT51600151988147KIS00_5;LT5;1988;147;0.156460972579191
632624.48;7140575.6;toar_LT51610152006203KIS02_5;LT5;2006;203;0.137942890828616
632624.48;7140575.6;toar_LT41610161988178XXX03_5;LT4;1988;178;null
632624.48;7140575.6;toar_LT51580162006198KIS01_5;LT5;2006;198;null
632624.48;7140575.6;toar_LT41590151988244XXX01_5;LT4;1988;244;0.301013485441701
632624.48;7140575.6;toar_LT51580162006278IKR01_5;LT5;2006;278;null
632624.48;7140575.6;toar_LT51600151989069KIS00_5;LT5;1989;069;0.136127187152538
632624.48;7140575.6;toar_LT51590151994252KIS00_5;LT5;1994;252;0.301293856784257
632624.48;7140575.6;toar_LT51600162007263IKR01_5;LT5;2007;263;null
632624.48;7140575.6;toar_LT51600161984184XXX05_5;LT5;1984;184;null
632624.48;7140575.6;toar_LT51590151998247BIK00_5;LT5;1998;247;0.181791755046997
632624.48;7140575.6;toar_LT51600161990200KIS00_5;LT5;1990;200;null
632624.48;7140575.6;toar_LT51590161986230XXX03_5;LT5;1986;230;null
632624.48;7140575.6;toar_LT51620151997297KIS00_5;LT5;1997;297;null
632624.48;7140575.6;toar_LT51580161989151KIS00_5;LT5;1989;151;null
632624.48;7140575.6;toar_LT51610151994218KIS00_5;LT5;1994;218;0.260358453260691
632624.48;7140575.6;toar_LT51590151988156KIS00_5;LT5;1988;156;0.461589314640331
632624.48;7140575.6;toar_LT51590161986326XXX03_5;LT5;1986;326;null
632624.48;7140575.6;toar_LT51590161986102KIS00_5;LT5;1986;102;null
632624.48;7140575.6;toar_LT51610161985225KIS00_5;LT5;1985;225;null
632624.48;7140575.6;toar_LT51590161985115KIS00_5;LT5;1985;115;null
632624.48;7140575.6;toar_LT51600152009172KIS01_5;LT5;2009;172;0.138400687864521
632624.48;7140575.6;toar_LT51620151988193KIS00_5;LT5;1988;193;null
632624.48;7140575.6;toar_LT51580161990186KIS00_5;LT5;1990;186;null
632624.48;7140575.6;toar_LT51600151988259KIS00_5;LT5;1988;259;0.0764009274612475
632624.48;7140575.6;toar_LT51590151998279KIS01_5;LT5;1998;279;0.0761882534011584
632624.48;7140575.6;toar_LT51600151987224XXX02_5;LT5;1987;224;0.214357505437397
632624.48;7140575.6;toar_LT51610151986244XXX03_5;LT5;1986;244;0.437423877635056
632624.48;7140575.6;toar_LT51610151988090KIS00_5;LT5;1988;090;0.0813500065344393
632624.48;7140575.6;toar_LT51600161985106KIS00_5;LT5;1985;106;null
632624.48;7140575.6;toar_LT51600152009252MOR00_5;LT5;2009;252;0.123010985612091
632624.48;7140575.6;toar_LT51590161998199KIS00_5;LT5;1998;199;null
632624.48;7140575.6;toar_LT51600162011178KIS01_5;LT5;2011;178;null
632624.48;7140575.6;toar_LT51600152007231IKR01_5;LT5;2007;231;0.131662611803768
632624.48;7140575.6;toar_LT51580162011244MOR00_5;LT5;2011;244;null
632624.48;7140575.6;toar_LT51620152011272KIS01_5;LT5;2011;272;0.283889109064734
632624.48;7140575.6;toar_LT51580161998192KIS00_5;LT5;1998;192;null
