X;Y;Name;Sensor;Year;Day;Value
630647.923211;6679094.80194;MOD13Q1.A2012081.250m_16_days_NDVI;MOD13Q1;2012;081;1173
630647.923211;6679094.80194;MOD13Q1.A2012033.250m_16_days_NDVI;MOD13Q1;2012;033;1508
630647.923211;6679094.80194;MOD13Q1.A2011001.250m_16_days_NDVI;MOD13Q1;2011;001;2077
630647.923211;6679094.80194;MOD13Q1.A2013193.250m_16_days_NDVI;MOD13Q1;2013;193;7231
630647.923211;6679094.80194;MOD13Q1.A2013049.250m_16_days_NDVI;MOD13Q1;2013;049;1395
630647.923211;6679094.80194;MOD13Q1.A2013321.250m_16_days_NDVI;MOD13Q1;2013;321;2482
630647.923211;6679094.80194;MOD13Q1.A2013337.250m_16_days_NDVI;MOD13Q1;2013;337;1481
630647.923211;6679094.80194;MOD13Q1.A2013161.250m_16_days_NDVI;MOD13Q1;2013;161;6556
630647.923211;6679094.80194;MOD13Q1.A2012145.250m_16_days_NDVI;MOD13Q1;2012;145;7575
630647.923211;6679094.80194;MOD13Q1.A2012321.250m_16_days_NDVI;MOD13Q1;2012;321;1814
630647.923211;6679094.80194;MOD13Q1.A2013273.250m_16_days_NDVI;MOD13Q1;2013;273;6421
630647.923211;6679094.80194;MOD13Q1.A2011337.250m_16_days_NDVI;MOD13Q1;2011;337;1132
630647.923211;6679094.80194;MOD13Q1.A2012241.250m_16_days_NDVI;MOD13Q1;2012;241;6814
630647.923211;6679094.80194;MOD13Q1.A2012337.250m_16_days_NDVI;MOD13Q1;2012;337;1663
630647.923211;6679094.80194;MOD13Q1.A2012001.250m_16_days_NDVI;MOD13Q1;2012;001;980
630647.923211;6679094.80194;MOD13Q1.A2012305.250m_16_days_NDVI;MOD13Q1;2012;305;6084
630647.923211;6679094.80194;MOD13Q1.A2011241.250m_16_days_NDVI;MOD13Q1;2011;241;7091
630647.923211;6679094.80194;MOD13Q1.A2011129.250m_16_days_NDVI;MOD13Q1;2011;129;5946
630647.923211;6679094.80194;MOD13Q1.A2013033.250m_16_days_NDVI;MOD13Q1;2013;033;1297
630647.923211;6679094.80194;MOD13Q1.A2011177.250m_16_days_NDVI;MOD13Q1;2011;177;7097
630647.923211;6679094.80194;MOD13Q1.A2011257.250m_16_days_NDVI;MOD13Q1;2011;257;4963
630647.923211;6679094.80194;MOD13Q1.A2011273.250m_16_days_NDVI;MOD13Q1;2011;273;6359
630647.923211;6679094.80194;MOD13Q1.A2012273.250m_16_days_NDVI;MOD13Q1;2012;273;5939
630647.923211;6679094.80194;MOD13Q1.A2013065.250m_16_days_NDVI;MOD13Q1;2013;065;1018
630647.923211;6679094.80194;MOD13Q1.A2013241.250m_16_days_NDVI;MOD13Q1;2013;241;7843
630647.923211;6679094.80194;MOD13Q1.A2013353.250m_16_days_NDVI;MOD13Q1;2013;353;1088
630647.923211;6679094.80194;MOD13Q1.A2012289.250m_16_days_NDVI;MOD13Q1;2012;289;5961
630647.923211;6679094.80194;MOD13Q1.A2013305.250m_16_days_NDVI;MOD13Q1;2013;305;1055
630647.923211;6679094.80194;MOD13Q1.A2013177.250m_16_days_NDVI;MOD13Q1;2013;177;6736
630647.923211;6679094.80194;MOD13Q1.A2011225.250m_16_days_NDVI;MOD13Q1;2011;225;6665
630647.923211;6679094.80194;MOD13Q1.A2011305.250m_16_days_NDVI;MOD13Q1;2011;305;3302
630647.923211;6679094.80194;MOD13Q1.A2013081.250m_16_days_NDVI;MOD13Q1;2013;081;278
630647.923211;6679094.80194;MOD13Q1.A2011209.250m_16_days_NDVI;MOD13Q1;2011;209;6580
630647.923211;6679094.80194;MOD13Q1.A2011353.250m_16_days_NDVI;MOD13Q1;2011;353;1028
630647.923211;6679094.80194;MOD13Q1.A2012129.250m_16_days_NDVI;MOD13Q1;2012;129;6222
630647.923211;6679094.80194;MOD13Q1.A2012177.250m_16_days_NDVI;MOD13Q1;2012;177;7799
630647.923211;6679094.80194;MOD13Q1.A2013289.250m_16_days_NDVI;MOD13Q1;2013;289;5634
630647.923211;6679094.80194;MOD13Q1.A2013209.250m_16_days_NDVI;MOD13Q1;2013;209;7508
630647.923211;6679094.80194;MOD13Q1.A2012225.250m_16_days_NDVI;MOD13Q1;2012;225;6904
630647.923211;6679094.80194;MOD13Q1.A2012257.250m_16_days_NDVI;MOD13Q1;2012;257;6169
630647.923211;6679094.80194;MOD13Q1.A2011017.250m_16_days_NDVI;MOD13Q1;2011;017;1490
630647.923211;6679094.80194;MOD13Q1.A2011193.250m_16_days_NDVI;MOD13Q1;2011;193;7226
630647.923211;6679094.80194;MOD13Q1.A2011145.250m_16_days_NDVI;MOD13Q1;2011;145;6141
630647.923211;6679094.80194;MOD13Q1.A2012353.250m_16_days_NDVI;MOD13Q1;2012;353;613
630647.923211;6679094.80194;MOD13Q1.A2012193.250m_16_days_NDVI;MOD13Q1;2012;193;7998
630647.923211;6679094.80194;MOD13Q1.A2012161.250m_16_days_NDVI;MOD13Q1;2012;161;7301
630647.923211;6679094.80194;MOD13Q1.A2012097.250m_16_days_NDVI;MOD13Q1;2012;097;5988
630647.923211;6679094.80194;MOD13Q1.A2011321.250m_16_days_NDVI;MOD13Q1;2011;321;1043
630647.923211;6679094.80194;MOD13Q1.A2011065.250m_16_days_NDVI;MOD13Q1;2011;065;1073
630647.923211;6679094.80194;MOD13Q1.A2012049.250m_16_days_NDVI;MOD13Q1;2012;049;1457
630647.923211;6679094.80194;MOD13Q1.A2012113.250m_16_days_NDVI;MOD13Q1;2012;113;6128
630647.923211;6679094.80194;MOD13Q1.A2013001.250m_16_days_NDVI;MOD13Q1;2013;001;779
630647.923211;6679094.80194;MOD13Q1.A2013129.250m_16_days_NDVI;MOD13Q1;2013;129;5753
630647.923211;6679094.80194;MOD13Q1.A2011161.250m_16_days_NDVI;MOD13Q1;2011;161;7170
630647.923211;6679094.80194;MOD13Q1.A2013017.250m_16_days_NDVI;MOD13Q1;2013;017;1565
630647.923211;6679094.80194;MOD13Q1.A2011289.250m_16_days_NDVI;MOD13Q1;2011;289;5840
630647.923211;6679094.80194;MOD13Q1.A2013097.250m_16_days_NDVI;MOD13Q1;2013;097;595
630647.923211;6679094.80194;MOD13Q1.A2013225.250m_16_days_NDVI;MOD13Q1;2013;225;8322
630647.923211;6679094.80194;MOD13Q1.A2011049.250m_16_days_NDVI;MOD13Q1;2011;049;666
630647.923211;6679094.80194;MOD13Q1.A2011033.250m_16_days_NDVI;MOD13Q1;2011;033;989
630647.923211;6679094.80194;MOD13Q1.A2013257.250m_16_days_NDVI;MOD13Q1;2013;257;6687
630647.923211;6679094.80194;MOD13Q1.A2011081.250m_16_days_NDVI;MOD13Q1;2011;081;1024
