X;Y;Name;Sensor;Year;Day;Value
614413.193783;6669010.80609;MOD13Q1.A2012081.250m_16_days_NDVI;MOD13Q1;2012;081;214
614413.193783;6669010.80609;MOD13Q1.A2012033.250m_16_days_NDVI;MOD13Q1;2012;033;351
614413.193783;6669010.80609;MOD13Q1.A2011001.250m_16_days_NDVI;MOD13Q1;2011;001;-210
614413.193783;6669010.80609;MOD13Q1.A2013193.250m_16_days_NDVI;MOD13Q1;2013;193;7017
614413.193783;6669010.80609;MOD13Q1.A2013049.250m_16_days_NDVI;MOD13Q1;2013;049;-76
614413.193783;6669010.80609;MOD13Q1.A2013321.250m_16_days_NDVI;MOD13Q1;2013;321;457
614413.193783;6669010.80609;MOD13Q1.A2013337.250m_16_days_NDVI;MOD13Q1;2013;337;-344
614413.193783;6669010.80609;MOD13Q1.A2013161.250m_16_days_NDVI;MOD13Q1;2013;161;6389
614413.193783;6669010.80609;MOD13Q1.A2012145.250m_16_days_NDVI;MOD13Q1;2012;145;6532
614413.193783;6669010.80609;MOD13Q1.A2012321.250m_16_days_NDVI;MOD13Q1;2012;321;112
614413.193783;6669010.80609;MOD13Q1.A2013273.250m_16_days_NDVI;MOD13Q1;2013;273;6171
614413.193783;6669010.80609;MOD13Q1.A2011337.250m_16_days_NDVI;MOD13Q1;2011;337;-746
614413.193783;6669010.80609;MOD13Q1.A2012241.250m_16_days_NDVI;MOD13Q1;2012;241;5805
614413.193783;6669010.80609;MOD13Q1.A2012337.250m_16_days_NDVI;MOD13Q1;2012;337;-362
614413.193783;6669010.80609;MOD13Q1.A2012001.250m_16_days_NDVI;MOD13Q1;2012;001;-291
614413.193783;6669010.80609;MOD13Q1.A2012305.250m_16_days_NDVI;MOD13Q1;2012;305;3705
614413.193783;6669010.80609;MOD13Q1.A2011241.250m_16_days_NDVI;MOD13Q1;2011;241;6113
614413.193783;6669010.80609;MOD13Q1.A2011129.250m_16_days_NDVI;MOD13Q1;2011;129;5014
614413.193783;6669010.80609;MOD13Q1.A2013033.250m_16_days_NDVI;MOD13Q1;2013;033;-190
614413.193783;6669010.80609;MOD13Q1.A2011177.250m_16_days_NDVI;MOD13Q1;2011;177;6919
614413.193783;6669010.80609;MOD13Q1.A2011257.250m_16_days_NDVI;MOD13Q1;2011;257;5327
614413.193783;6669010.80609;MOD13Q1.A2011273.250m_16_days_NDVI;MOD13Q1;2011;273;5403
614413.193783;6669010.80609;MOD13Q1.A2012273.250m_16_days_NDVI;MOD13Q1;2012;273;5090
614413.193783;6669010.80609;MOD13Q1.A2013065.250m_16_days_NDVI;MOD13Q1;2013;065;-1
614413.193783;6669010.80609;MOD13Q1.A2013241.250m_16_days_NDVI;MOD13Q1;2013;241;6206
614413.193783;6669010.80609;MOD13Q1.A2013353.250m_16_days_NDVI;MOD13Q1;2013;353;-79
614413.193783;6669010.80609;MOD13Q1.A2012289.250m_16_days_NDVI;MOD13Q1;2012;289;5010
614413.193783;6669010.80609;MOD13Q1.A2013305.250m_16_days_NDVI;MOD13Q1;2013;305;2313
614413.193783;6669010.80609;MOD13Q1.A2013177.250m_16_days_NDVI;MOD13Q1;2013;177;7039
614413.193783;6669010.80609;MOD13Q1.A2011225.250m_16_days_NDVI;MOD13Q1;2011;225;6634
614413.193783;6669010.80609;MOD13Q1.A2011305.250m_16_days_NDVI;MOD13Q1;2011;305;1505
614413.193783;6669010.80609;MOD13Q1.A2013081.250m_16_days_NDVI;MOD13Q1;2013;081;-50
614413.193783;6669010.80609;MOD13Q1.A2011209.250m_16_days_NDVI;MOD13Q1;2011;209;8498
614413.193783;6669010.80609;MOD13Q1.A2011353.250m_16_days_NDVI;MOD13Q1;2011;353;-532
614413.193783;6669010.80609;MOD13Q1.A2012129.250m_16_days_NDVI;MOD13Q1;2012;129;5326
614413.193783;6669010.80609;MOD13Q1.A2012177.250m_16_days_NDVI;MOD13Q1;2012;177;7265
614413.193783;6669010.80609;MOD13Q1.A2013289.250m_16_days_NDVI;MOD13Q1;2013;289;4952
614413.193783;6669010.80609;MOD13Q1.A2013209.250m_16_days_NDVI;MOD13Q1;2013;209;6773
614413.193783;6669010.80609;MOD13Q1.A2012225.250m_16_days_NDVI;MOD13Q1;2012;225;6283
614413.193783;6669010.80609;MOD13Q1.A2012257.250m_16_days_NDVI;MOD13Q1;2012;257;6152
614413.193783;6669010.80609;MOD13Q1.A2011017.250m_16_days_NDVI;MOD13Q1;2011;017;-136
614413.193783;6669010.80609;MOD13Q1.A2011193.250m_16_days_NDVI;MOD13Q1;2011;193;6649
614413.193783;6669010.80609;MOD13Q1.A2011145.250m_16_days_NDVI;MOD13Q1;2011;145;5158
614413.193783;6669010.80609;MOD13Q1.A2012353.250m_16_days_NDVI;MOD13Q1;2012;353;-137
614413.193783;6669010.80609;MOD13Q1.A2012193.250m_16_days_NDVI;MOD13Q1;2012;193;6474
614413.193783;6669010.80609;MOD13Q1.A2012161.250m_16_days_NDVI;MOD13Q1;2012;161;6243
614413.193783;6669010.80609;MOD13Q1.A2012097.250m_16_days_NDVI;MOD13Q1;2012;097;5146
614413.193783;6669010.80609;MOD13Q1.A2011321.250m_16_days_NDVI;MOD13Q1;2011;321;-171
614413.193783;6669010.80609;MOD13Q1.A2011065.250m_16_days_NDVI;MOD13Q1;2011;065;-4
614413.193783;6669010.80609;MOD13Q1.A2012049.250m_16_days_NDVI;MOD13Q1;2012;049;5
614413.193783;6669010.80609;MOD13Q1.A2012113.250m_16_days_NDVI;MOD13Q1;2012;113;5192
614413.193783;6669010.80609;MOD13Q1.A2013001.250m_16_days_NDVI;MOD13Q1;2013;001;-255
614413.193783;6669010.80609;MOD13Q1.A2013129.250m_16_days_NDVI;MOD13Q1;2013;129;5106
614413.193783;6669010.80609;MOD13Q1.A2011161.250m_16_days_NDVI;MOD13Q1;2011;161;6642
614413.193783;6669010.80609;MOD13Q1.A2013017.250m_16_days_NDVI;MOD13Q1;2013;017;25
614413.193783;6669010.80609;MOD13Q1.A2011289.250m_16_days_NDVI;MOD13Q1;2011;289;5287
614413.193783;6669010.80609;MOD13Q1.A2013097.250m_16_days_NDVI;MOD13Q1;2013;097;100
614413.193783;6669010.80609;MOD13Q1.A2013225.250m_16_days_NDVI;MOD13Q1;2013;225;6426
614413.193783;6669010.80609;MOD13Q1.A2011049.250m_16_days_NDVI;MOD13Q1;2011;049;22
614413.193783;6669010.80609;MOD13Q1.A2011033.250m_16_days_NDVI;MOD13Q1;2011;033;-94
614413.193783;6669010.80609;MOD13Q1.A2013257.250m_16_days_NDVI;MOD13Q1;2013;257;6087
614413.193783;6669010.80609;MOD13Q1.A2011081.250m_16_days_NDVI;MOD13Q1;2011;081;-43
614413.193783;6669010.80609;MOD13Q1.A2011113.250m_16_days_NDVI;MOD13Q1;2011;113;5058
614413.193783;6669010.80609;MOD13Q1.A2012017.250m_16_days_NDVI;MOD13Q1;2012;017;-17
614413.193783;6669010.80609;MOD13Q1.A2013145.250m_16_days_NDVI;MOD13Q1;2013;145;4887
614413.193783;6669010.80609;MOD13Q1.A2012209.250m_16_days_NDVI;MOD13Q1;2012;209;6244
614413.193783;6669010.80609;MOD13Q1.A2012065.250m_16_days_NDVI;MOD13Q1;2012;065;-39
614413.193783;6669010.80609;MOD13Q1.A2013113.250m_16_days_NDVI;MOD13Q1;2013;113;5055
614413.193783;6669010.80609;MOD13Q1.A2011097.250m_16_days_NDVI;MOD13Q1;2011;097;5710
