X;Y;Name;Sensor;Year;Day;Value
572677.37;7016668.9;toar_LT51580161988229KIS00_7;LT5;1988;229;null
572677.37;7016668.9;toar_LT51610151990191KIS00_7;LT5;1990;191;null
572677.37;7016668.9;toar_LT51590161985099KIS00_7;LT5;1985;099;0.0877400718570369
572677.37;7016668.9;toar_LT51590161990257KIS00_7;LT5;1990;257;0.191039586829211
572677.37;7016668.9;toar_LT51590161987041XXX02_7;LT5;1987;041;0.174351278328853
572677.37;7016668.9;toar_LT51600161999177KIS00_7;LT5;1999;177;0.051489282008756
572677.37;7016668.9;toar_LT51610161986276XXX02_7;LT5;1986;276;0.334462329117967
572677.37;7016668.9;toar_LT51610161984127KIS00_7;LT5;1984;127;0.0221334924679132
572677.37;7016668.9;toar_LT51610161998085KIS00_7;LT5;1998;085;0.0799220781304919
572677.37;7016668.9;toar_LT51600161987064AAA02_7;LT5;1987;064;0.0760232983688733
572677.37;7016668.9;toar_LT51590152010216KIS01_7;LT5;2010;216;null
572677.37;7016668.9;toar_LT51610162010214KIS01_7;LT5;2010;214;0.0483055754200734
572677.37;7016668.9;toar_LT51600162011178KIS01_7;LT5;2011;178;0.0720151756446576
572677.37;7016668.9;toar_LT51600151987096KIS01_7;LT5;1987;096;null
572677.37;7016668.9;toar_LT51610162011169KIS01_7;LT5;2011;169;0.179212951616794
572677.37;7016668.9;toar_LT51580161987098XXX02_7;LT5;1987;098;null
572677.37;7016668.9;toar_LT51580162007233IKR01_7;LT5;2007;233;null
572677.37;7016668.9;toar_LT51590161989238KIS00_7;LT5;1989;238;0.244582755590128
572677.37;7016668.9;toar_LT51590161986358XXX03_7;LT5;1986;358;0.0457902049363417
572677.37;7016668.9;toar_LT51580161989167KIS00_7;LT5;1989;167;null
572677.37;7016668.9;toar_LT51600152007135IKR01_7;LT5;2007;135;null
572677.37;7016668.9;toar_LT51590161989254KIS00_7;LT5;1989;254;0.0706762499983355
572677.37;7016668.9;toar_LT41580161988205XXX03_7;LT4;1988;205;null
572677.37;7016668.9;toar_LT51590151998167KIS00_7;LT5;1998;167;null
572677.37;7016668.9;toar_LT51590151988220KIS00_7;LT5;1988;220;null
572677.37;7016668.9;toar_LT51590161994252KIS00_7;LT5;1994;252;0.0189445101615386
572677.37;7016668.9;toar_LT51600151986349XXX03_7;LT5;1986;349;null
572677.37;7016668.9;toar_LT51600151985266KIS00_7;LT5;1985;266;null
572677.37;7016668.9;toar_LT51590151988092KIS00_7;LT5;1988;092;null
572677.37;7016668.9;toar_LT51610161986116KIS00_7;LT5;1986;116;0.337389271835203
572677.37;7016668.9;toar_LT51610161987215XXX02_7;LT5;1987;215;0.0455038323704714
572677.37;7016668.9;toar_LT51620152007277MOR00_7;LT5;2007;277;null
572677.37;7016668.9;toar_LT51610151988138KIS00_7;LT5;1988;138;null
572677.37;7016668.9;toar_LT41580161988221XXX03_7;LT4;1988;221;null
572677.37;7016668.9;toar_LT51590161985083KIS00_7;LT5;1985;083;0.217590260228463
572677.37;7016668.9;toar_LT51590161985067KIS00_7;LT5;1985;067;0.0555402898505953
572677.37;7016668.9;toar_LT51600162006196KIS01_7;LT5;2006;196;0.0382409904980149
572677.37;7016668.9;toar_LT51580161987146XXX02_7;LT5;1987;146;null
572677.37;7016668.9;toar_LT51620151998108KIS00_7;LT5;1998;108;null
572677.37;7016668.9;toar_LT51600152009252KIS01_7;LT5;2009;252;null
572677.37;7016668.9;toar_LT51620151987030XXX03_7;LT5;1987;030;null
572677.37;7016668.9;toar_LT51600161986141XXX03_7;LT5;1986;141;0.0467245798017656
572677.37;7016668.9;toar_LT51590161986134XXX03_7;LT5;1986;134;0.367897528730487
572677.37;7016668.9;toar_LT51590151986342XXX03_7;LT5;1986;342;null
572677.37;7016668.9;toar_LT51590162006285IKR01_7;LT5;2006;285;0.104643234521963
572677.37;7016668.9;toar_LT51590161998215KIS00_7;LT5;1998;215;0.333720378790553
572677.37;7016668.9;toar_LT51610161985273KIS00_7;LT5;1985;273;0.0500170374379112
572677.37;7016668.9;toar_LT51590161990193KIS00_7;LT5;1990;193;0.0571478130775055
572677.37;7016668.9;toar_LT51620151998076KIS00_7;LT5;1998;076;null
572677.37;7016668.9;toar_LT51590161987073XXX01_7;LT5;1987;073;0.124503976982352
572677.37;7016668.9;toar_LT51600151985234KIS00_7;LT5;1985;234;null
572677.37;7016668.9;toar_LT51620151985232KIS00_7;LT5;1985;232;null
572677.37;7016668.9;toar_LT51590162009261MOR00_7;LT5;2009;261;0.0473206783493128
572677.37;7016668.9;toar_LT51580161998096KIS00_7;LT5;1998;096;null
572677.37;7016668.9;toar_LT51590151990097KIS00_7;LT5;1990;097;null
572677.37;7016668.9;toar_LT51600152009172KIS01_7;LT5;2009;172;null
572677.37;7016668.9;toar_LT51620152011224KIS01_7;LT5;2011;224;null
572677.37;7016668.9;toar_LT41590151988196XXX03_7;LT4;1988;196;null
572677.37;7016668.9;toar_LT41590161988180XXX03_7;LT4;1988;180;0.0558119920365407
572677.37;7016668.9;toar_LT51580161987002XXX03_7;LT5;1987;002;null
