X;Y;Name;Sensor;Year;Day;Value
629473.58;7008545.5;toar_LT51580161988229KIS00_7;LT5;1988;229;null
629473.58;7008545.5;toar_LT51610151990191KIS00_7;LT5;1990;191;null
629473.58;7008545.5;toar_LT51590161985099KIS00_7;LT5;1985;099;0.0971181633121463
629473.58;7008545.5;toar_LT51590161990257KIS00_7;LT5;1990;257;0.340825418278553
629473.58;7008545.5;toar_LT51590161987041XXX02_7;LT5;1987;041;0.284077667525182
629473.58;7008545.5;toar_LT51600161999177KIS00_7;LT5;1999;177;0.0479893981735006
629473.58;7008545.5;toar_LT51610161986276XXX02_7;LT5;1986;276;null
629473.58;7008545.5;toar_LT51610161984127KIS00_7;LT5;1984;127;null
629473.58;7008545.5;toar_LT51610161998085KIS00_7;LT5;1998;085;null
629473.58;7008545.5;toar_LT51600161987064AAA02_7;LT5;1987;064;0.0212272846094906
629473.58;7008545.5;toar_LT51590152010216KIS01_7;LT5;2010;216;null
629473.58;7008545.5;toar_LT51610162010214KIS01_7;LT5;2010;214;null
629473.58;7008545.5;toar_LT51600162011178KIS01_7;LT5;2011;178;0.0476759883998125
629473.58;7008545.5;toar_LT51600151987096KIS01_7;LT5;1987;096;null
629473.58;7008545.5;toar_LT51610162011169KIS01_7;LT5;2011;169;null
629473.58;7008545.5;toar_LT51580161987098XXX02_7;LT5;1987;098;null
629473.58;7008545.5;toar_LT51580162007233IKR01_7;LT5;2007;233;null
629473.58;7008545.5;toar_LT51590161989238KIS00_7;LT5;1989;238;0.0702374980650721
629473.58;7008545.5;toar_LT51590161986358XXX03_7;LT5;1986;358;-0.0185479311134549
629473.58;7008545.5;toar_LT51580161989167KIS00_7;LT5;1989;167;null
629473.58;7008545.5;toar_LT51600152007135IKR01_7;LT5;2007;135;null
629473.58;7008545.5;toar_LT51590161989254KIS00_7;LT5;1989;254;0.369634001305355
629473.58;7008545.5;toar_LT41580161988205XXX03_7;LT4;1988;205;null
629473.58;7008545.5;toar_LT51590151998167KIS00_7;LT5;1998;167;null
629473.58;7008545.5;toar_LT51590151988220KIS00_7;LT5;1988;220;null
629473.58;7008545.5;toar_LT51590161994252KIS00_7;LT5;1994;252;0.039360438588051
629473.58;7008545.5;toar_LT51600151986349XXX03_7;LT5;1986;349;null
629473.58;7008545.5;toar_LT51600151985266KIS00_7;LT5;1985;266;null
629473.58;7008545.5;toar_LT51590151988092KIS00_7;LT5;1988;092;null
629473.58;7008545.5;toar_LT51610161986116KIS00_7;LT5;1986;116;null
629473.58;7008545.5;toar_LT51610161987215XXX02_7;LT5;1987;215;null
629473.58;7008545.5;toar_LT51620152007277MOR00_7;LT5;2007;277;null
