X;Y;Name;Sensor;Year;Day;Value
632624.48;7140575.6;toar_LT51610151987103XXX02_4;LT5;1987;103;0.486267740661116
632624.48;7140575.6;toar_LT51600162007183IKR01_4;LT5;2007;183;null
632624.48;7140575.6;toar_LT51600161990088KIS00_4;LT5;1990;088;null
632624.48;7140575.6;toar_LT51610161994186KIS00_4;LT5;1994;186;null
632624.48;7140575.6;toar_LT51580161986271XXX02_4;LT5;1986;271;null
632624.48;7140575.6;toar_LT51590151994156KIS00_4;LT5;1994;156;0.156118937466508
632624.48;7140575.6;toar_LT51600161987176KIS03_4;LT5;1987;176;null
632624.48;7140575.6;toar_LT51610151998229KIS00_4;LT5;1998;229;0.465265527648808
632624.48;7140575.6;toar_LT51590161994252KIS00_4;LT5;1994;252;null
632624.48;7140575.6;toar_LT51580161988197KIS00_4;LT5;1988;197;null
632624.48;7140575.6;toar_LT51620151985264KIS00_4;LT5;1985;264;null
632624.48;7140575.6;toar_LT51590151987185XXX02_4;LT5;1987;185;0.140464373943343
632624.48;7140575.6;toar_LT41580161988173XXX03_4;LT4;1988;173;null
632624.48;7140575.6;toar_LT51610161987023XXX03_4;LT5;1987;023;null
632624.48;7140575.6;toar_LT51610152009195KIS01_4;LT5;2009;195;0.16391919485249
632624.48;7140575.6;toar_LT41600151988283XXX03_4;LT4;1988;283;0.168269541288032
632624.48;7140575.6;toar_LT51590151998215KIS00_4;LT5;1998;215;0.127911544787797
632624.48;7140575.6;toar_LT51600161989101KIS00_4;LT5;1989;101;null
632624.48;7140575.6;toar_LT51590152006253MOR01_4;LT5;2006;253;0.145802945097616
632624.48;7140575.6;toar_LT51590161989126KIS00_4;LT5;1989;126;null
632624.48;7140575.6;toar_LT51590152006173KIS01_4;LT5;2006;173;0.162282362358901
632624.48;7140575.6;toar_LT51620151990182KIS00_4;LT5;1990;182;null
632624.48;7140575.6;toar_LT51590151985115KIS00_4;LT5;1985;115;0.766805834062683
632624.48;7140575.6;toar_LT51610151998277KIS00_4;LT5;1998;277;0.352412563951511
632624.48;7140575.6;toar_LT51600151986141XXX03_4;LT5;1986;141;0.351840506408818
